label,text,trainable_data
1,"['mantra', ""'s"", 'technology', ',', 'the', 'conversion', 'of', 'co2', 'to', 'saleable', 'chemicals', '(', 'such', 'as', 'formic', 'acid', ',', 'syngas', 'and', 'others', ')', 'is', 'one', 'of', 'the', 'few', 'technologies', 'which', 'is', 'business', 'as', 'wellas', 'enviromental', 'friendly', '.', 'it', 'reduces', 'the', 'cost', 'of', 'energy', ',', 'it', 'will', 'create', 'jobs', 'and', 'it', 'will', 'provide', 'a', 'carbon', 'neutral', 'environment', '.', 'business', 'friendly', '-', 'with', 'a', 'tax', 'on', 'carbon', 'in', 'place', 'and', 'the', 'cost', 'of', 'sequestration', 'of', 'carbon', ',', 'businesses', 'will', 'be', 'forced', 'to', 'raise', 'it', ""'s"", 'prices', 'on', 'their', 'products', 'to', 'cover', 'these', 'addition', 'expenditures', '.', 'by', 'reducing', 'carbon', 'emissions', ',', 'mantra', ""'s"", 'technology', 'would', 'remove', 'the', 'cost', 'of', 'a', 'carbon', 'tax', 'and', 'sequestration', ',', 'as', 'it', 'would', 'turn', 'a', 'waste', 'product', '(', 'co2', ')', 'to', 'saleable', 'chemicals', '.', 'this', 'at', 'the', 'same', 'time', 'make', 'the', 'business', 'carbon', 'neutral', '.', 'this', 'would', 'add', 'revenue', 'to', 'business', 'which', 'in', 'turn', 'would', 'allow', 'them', 'to', 'offer', 'their', 'products', 'at', 'a', 'reduce', 'prices', '.', 'economically-', 'business', 'do', 'what', 'business', 'do', 'and', 'pass', 'on', 'their', 'added', 'cost', 'to', 'the', 'end', 'consumer', '.', 'this', 'in', 'turn', 'takes', 'money', 'out', 'the', 'economy', 'which', 'leads', 'to', 'an', 'economic', 'downturn', '.', 'mantra', ""'s"", 'technology', 'would', 'eliminate', 'those', 'extra', 'expenditures', 'to', 'businesses', ',', 'thus', 'allowing', 'businesses', 'to', 'charge', 'their', 'customers', 'less', 'for', 'their', 'products', '.', 'this', 'would', 'free', 'up', 'more', 'expendable', 'capital', 'per', 'individual', 'which', 'would', 'be', 'beneficial', 'for', 'the', 'economy', '.', 'an', 'addition', 'boost', 'to', 'the', 'economy', 'is', 'that', 'one', 'of', 'mantra', ""'s"", 'main', 'by', 'products', 'chemicals', 'is', 'syngas', ',', 'which', 'can', 'be', 'converted', 'to', 'diesel', 'and', 'home', 'heating', 'fuel', '.', 'this', 'will', 'drive', 'down', 'the', 'price', 'of', 'both', 'diesel', 'and', 'heating', 'fuel', ',', 'benefiting', 'businesses', 'and', 'the', 'end', 'consumer', 'thous', 'the', 'over', 'all', 'economy', '.', 'job', 'creations', '.', 'mantra', ""'s"", 'technology', 'takes', 'wasteful', 'co2', 'and', 'converts', 'it', 'saleable', 'chemicals', '.', 'it', 'will', 'create', 'jobs', 'because', 'some', 'one', 'will', 'have', 'to', 'build', 'the', 'units', ',', 'someone', 'will', 'have', 'to', 'maintain', 'the', 'units', ',', 'some', 'one', 'will', 'have', 'to', 'sell', 'the', 'chemicals', ',', 'someone', 'will', 'have', 'to', 'gather', 'the', 'chemicals', 'and', 'some', 'will', 'have', 'to', 'transport', 'the', 'chemicals', '.', 'jobs', '.', 'cleaner', 'energy', 'future', '.', 'at', 'the', 'very', 'least', 'mantra', ""'s"", 'technology', 'is', 'carbon', 'neutral', 'but', 'it', 'also', 'has', 'the', 'potential', 'to', 'greatly', 'reduce', 'carbon', 'from', 'the', 'environment', 'based', 'on', 'what', 'chemicals', 'it', 'produces', '.', 'i', 'only', 'state', 'carbon', 'neutral', 'because', 'certain', 'chemical', 'produced', 'by', 'mantra', ""'s"", 'technology', 'especially', 'syngas', '(', 'the', 'most', 'valuable', 'one', 'can', 'be', 'converted', 'to', 'diesel', 'fuel', ')', 'eventually', 'will', 'be', 'burned', ',', 'while', 'others', '(', 'example', 'formic', 'acid', ')', 'takes', 'carbon', 'out', 'of', 'the', 'atmosphere', 'and', 'when', 'used', 'puts', 'none', 'back', '.', 'currently', 'mantra', 'energy', 'is', 'waiting', 'to', 'hear', 'if', 'it', 'was', 'approved', 'for', 'a', 'grant', 'to', 'bring', 'it', 'technology', 'from', 'lab', 'to', 'market', 'at', 'the', 'ccci', 'in', 'vancouver', '.']",mantra technology conversion saleable chemical formic acid syngas others one technology business wellas enviromental friendly reduce cost energy create job provide carbon neutral environment business friendly tax carbon place cost sequestration carbon business force raise price product cover addition expenditure reduce carbon emission mantra technology would remove cost carbon tax sequestration would turn waste product saleable chemical time make business carbon neutral would add revenue business turn would allow offer product reduce price business business pass added cost end consumer turn take money economy lead economic downturn mantra technology would eliminate extra expenditure business thus allow business charge customer less product would free expendable capital per individual would beneficial economy addition boost economy one mantra main product chemical syngas convert diesel home heating fuel drive price diesel heating fuel benefit business end consumer thou economy job creation mantra technology take wasteful convert saleable chemical create job one build unit someone maintain unit one sell chemical someone gather chemical transport chemical job clean energy future least mantra technology carbon neutral also potential greatly reduce carbon environment base chemical produce state carbon neutral certain chemical produce mantra technology especially syngas valuable one convert diesel fuel eventually burn others example formic acid take carbon atmosphere use put none back currently mantra energy wait hear approve grant bring technology lab market ccci vancouver
1,"['canada', 'needs', 'to', 'support', 'itself', 'and', 'energy', 'east', 'must', 'be', 'built', 'asap', '.', 'without', 'energy', 'east', 'we', 'are', 'doing', 'more', 'damage', 'to', 'the', 'climate', 'by', 'purchasing', 'dirty', 'oil', 'and', 'making', 'other', 'counties', 'rich', 'instead', 'of', 'our', 'own', '.', 'it', 'is', 'a', 'simple', 'concept', ',', 'support', 'our', 'own', 'first', '!']",canada need support energy east must build asap without energy east damage climate purchase dirty oil make county rich instead simple concept support first
0,"['social', 'license', 'is', 'not', 'present', 'for', 'this', 'project', '.', 'respect', 'social', 'license', 'and', 'do', 'not', 'try', 'to', '``', 'manipulate', ""''"", 'the', 'communities', 'in', 'favour', 'of', 'this', 'project', '.']",social license present project respect social license try manipulate community favour project
0,"['your', 'distaste', 'for', 'fossil', 'fuels', 'is', 'obvious', '.', 'i', ""'m"", 'assuming', 'you', 'have', 'completely', 'given', 'up', 'anything', 'associated', 'with', 'or', 'derived', 'from', 'fossil', 'fuels', '.', 'like', 'the', 'oil', 'imported', 'into', 'eastern', 'canada', 'from', 'middle', 'eastern', 'dictatorships', '.', 'that', 'would', 'be', 'incompatible', 'with', 'your', 'beliefs', 'i', ""'m"", 'sure', '.', 'tell', 'us', 'how', 'you', 'have', 'cleansed', 'your', 'life', 'of', 'the', 'scourge', 'of', 'fossil', 'fuels', '?', 'we', 'all', 'want', 'to', 'know', '.']",distaste fossil fuel obvious assume completely give anything associate derive fossil fuel like oil import eastern canada middle eastern dictatorship would incompatible belief sure tell u cleanse life scourge fossil fuel want know
1,"['in', 'order', 'to', 'get', 'the', 'bitumen', 'to', 'market', 'through', 'pipelines', ',', 'the', 'co2', 'emissions', 'should', 'be', 'reduced', '.', 'the', 'amount', 'of', 'natural', 'gas', 'used', 'to', 'produce', 'the', 'bitumen', 'needs', 'to', 'be', 'decreased', 'significnatly', '.', 'and', 'the', 'oil', 'being', 'shipped', 'needs', 'to', 'have', 'less', 'asphaltenes', 'in', 'order', 'to', 'be', 'used', 'in', 'more', 'refineries', 'deasphalted', 'alberta', 'bitumen', 'is', 'the', 'ideal', 'complement', 'to', 'the', 'light', 'tight', 'oil', 'now', 'being', 'produced', 'in', 'the', 'usa', '.', 'see', 'the', 'attached', 'pdf', 'file', '.']",order get bitumen market pipeline emission reduce amount natural gas use produce bitumen need decrease significnatly oil ship need less asphaltenes order use refinery deasphalted alberta bitumen ideal complement light tight oil produce usa see attached pdf file
0,"['north', 'american', 'energy', 'independence', '!', '!', '!', '!']",north american energy independence
0,"['moral', 'authority', 'and', 'oil', 'production', 'do', 'not', 'go', 'into', 'the', 'same', 'sentence', '.', 'look', 'at', 'you', 'children', 'and', 'grand-children', 'in', 'the', 'eyes', ',', 'and', 'tell', 'them', 'you', 'have', 'the', 'technology', ',', 'the', 'know-how', ',', 'but', 'that', 'our', 'generation', 'was', 'too', 'greedy', 'to', 'do', 'something', 'about', 'climate', 'change…trying', 'is', 'not', 'an', 'option', ',', 'acting', 'is', '...']",moral authority oil production go sentence look child eye tell technology generation greedy something climate option acting
1,"['the', 'argument', 'over', 'whether', 'or', 'not', 'to', 'make', 'breakthroughs', 'in', 'renewable', 'energies', 'is', 'moot', ',', 'regardless', 'of', 'the', 'climate', 'change', 'debate', '.', 'our', 'current', 'energy', 'infrastructure', 'is', 'entirely', 'foundationed', 'in', 'resources', 'that', 'we', 'know', 'are', 'depleting', ',', 'and', 'will', 'one', 'day', 'be', 'exhausted', '.', 'the', 'best', 'way', 'to', 'make', '``', 'fiscal', 'thinking', ""''"", 'come', 'in', 'line', 'with', 'a', 'sustainable', 'future', 'is', 'to', 'incentivize', 'the', 'fiscal', 'thinkers', '.', 'case', 'in', 'point', ',', 'the', 'cbc', ""'s"", 'program', '``', 'dragons', 'den', ""''"", '.', 'the', 'fiscal', 'thinking', '``', 'dragons', ""''"", 'turned', 'down', 'an', 'opportunity', 'with', 'an', 'engineer', 'who', 'wanted', 'to', 'build', 'a', 'tidal', 'powered', 'generation', 'station', 'off', 'of', 'the', 'east', 'coast', '.', 'the', 'only', 'obstacle', 'cited', 'by', 'the', 'dragons', 'was', 'that', 'they', 'would', 'never', 'see', 'return', 'on', 'their', 'investment', '.', 'they', 'could', 'find', 'no', 'issue', ',', 'but', 'a', 'monetary', 'issue', '.', 'in', 'the', 'end', 'they', 'called', 'the', 'engineer', 'crazy', ',', 'told', 'him', 'that', 'they', 'would', 'love', 'to', 'get', 'drunk', 'with', 'him', ',', 'but', 'would', ""n't"", 'give', 'him', 'a', 'plugged', 'nickel', '.', 'not', 'a', 'single', 'one', 'of', 'those', 'dragons', 'was', 'able', 'to', 'see', 'that', 'clean', ',', 'plentiful', ',', 'sustainable', ',', 'low', 'environmental', 'impacting', 'energy', 'was', 'something', 'to', 'want', 'to', 'be', 'a', 'part', 'of', ',', 'because', 'they', 'were', 'afraid', 'of', 'loosing', 'paper', 'and', 'numbers', 'on', 'a', 'computer', '.', 'no', 'one', 'wants', 'to', 'lose', 'their', 'paper', 'or', 'computer', 'numbers', ',', 'and', 'that', 'is', 'understandable', 'so', 'it', 'would', 'seem', 'that', 'subsidies', 'are', 'in', 'order', '.', 'your', 'next', 'big', 'hurdle', 'comes', 'from', 'joe', 'working', 'person', '.', 'they', 'want', 'jobs', ',', 'and', 'employers', 'want', 'people', 'who', 'are', 'the', 'best', 'for', 'those', 'jobs', '.', 'this', 'is', 'a', 'main', 'proponent', 'for', 'the', 'old', 'sad', 'story', 'of', '``', 'when', 'the', 'mill', 'shut', 'down', ""''"", 'or', '``', 'revinew', 'prices', 'tanked', ""''"", 'and', 'those', 'people', 'who', 'depended', 'on', 'the', 'industry', '.', 'the', 'major', 'concern', 'when', 'these', 'economic', 'events', 'or', 'corrections', 'occur', ',', 'to', 'the', 'normal', 'person', ',', 'is', 'that', 'they', 'have', 'been', 'compartmentalized', ',', 'into', 'a', 'specialized', 'part', 'of', 'the', 'work', 'force', '.', 'a', 'seamstress', 'likely', 'does', ""n't"", 'know', 'how', 'to', 'smelt', 'metal', 'at', 'the', 'refinery', ',', 'when', 'the', 'automated', 'pants', 'factory', 'comes', 'to', 'town', ',', 'and', 'the', 'refinery', 'staff', 'likely', 'do', ""n't"", 'know', 'how', 'to', 'bake', 'cakes', 'at', 'the', 'bakery', ',', 'when', 'there', 'is', 'no', 'market', 'call', 'for', 'their', 'skill', 'set', '.', 'the', 'same', 'is', 'true', 'in', 'the', 'energy', 'sector', '.', 'by', 'insentivising', 'companies', 'to', 'branch', 'out', ',', 'you', 'will', 'in', 'kind', 'incentivize', 'the', 'work', 'force', 'that', 'supports', 'that', 'company', '.', 'for', 'example', ',', 'if', 'jane', 'doe', ""'s"", 'oil', 'company', 'received', 'some', 'sort', 'of', 'tax', 'break', 'or', 'a', 'levy', 'against', 'them', 'laxxed', 'for', 'funding', 'or', 'investing', 'in', 'clean', 'and', 'renewable', 'energy', ',', 'eventually', 'jane', ""'s"", 'oil', 'inc.', 'becomes', 'jane', ""'s"", 'energy', 'and', 'innovation', 'conglomerative', '.', 'all', 'of', 'a', 'sudden', 'the', 'share', 'holders', 'of', 'jane', ""'s"", 'are', 'working', 'toward', 'more', 'efficient', 'solar', 'panels', ',', 'and', 'miniaturizing', 'wind', 'mills', 'to', 'prevent', 'bird', 'deaths', ',', 'msr', 'nuclear', 'power', '.', 'suddenly', 'bob', ""'s"", 'copper', 'wire', 'consortium', 'and', 'it', ""'s"", 'share', 'holders', 'are', 'really', 'interested', 'in', 'microwave', 'energy', 'transmission', 'so', 'that', 'they', 'can', 'have', 'their', 'name', 'on', 'the', 'first', 'orbital', 'solar', 'stations', '.', 'in', 'turn', 'these', 'companies', 'need', 'staff', 'working', 'and', 'engineering', 'towards', 'the', 'prescribed', 'goals', '.', 'incentivize', 'them', 'further', ',', 'by', 'creating', 'training', 'programs', 'and', 'opportunities', 'for', 'existing', 'staff', '.', 'create', 'a', 'business', 'environment', 'where', 'less', 'wire', 'being', 'built', 'means', 'more', 'technicians', 'and', 'engineers', 'are', 'needed', ',', 'instead', 'of', 'more', 'people', 'destitute', 'because', 'the', 'wire', 'factory', 'shut', 'down', '.', 'we', 'also', 'need', 'common', 'sense', 'in', 'how', 'we', 'get', 'to', 'an', 'all', 'renewable', 'future', '.', 'just', 'because', 'there', 'are', 'solar', 'panels', ',', 'and', 'electric', 'cars', 'that', 'work', 'in', 'california', ',', 'does', ""n't"", 'mean', 'that', 'they', 'will', 'work', 'everywhere', '.', 'with', 'the', 'point', 'being', 'that', 'if', 'something', 'is', 'going', 'to', 'work', 'in', 'the', 'future', ',', 'that', 'is', 'not', 'a', 'reason', 'to', 'stop', 'using', 'what', 'works', 'now', '.', 'as', 'it', 'stands', 'the', '``', 'no', 'more', 'oil', 'keep', 'it', 'in', 'the', 'soil', ""''"", 'mentality', 'leaves', 'a', 'lot', 'of', 'people', 'cold', 'and', 'hungry', 'in', 'the', 'dark', '.', 'no', 'one', 'through', 'away', 'their', 'bow', 'and', 'arrow', 'when', 'the', 'first', 'musket', 'was', 'introduced', ',', 'and', 'the', 'same', 'should', 'be', 'expected', 'in', 'the', 'energy', 'sector', '.', 'energy', 'is', 'the', 'corner', 'stone', 'of', 'the', 'foundation', 'of', 'modern', 'society', '.', 'if', 'we', 'take', 'the', 'time', 'and', 'put', 'in', 'the', 'effort', 'to', 'revolutionize', 'energy', ',', 'society', 'will', 'move', 'with', 'it', '.', 'if', 'we', 'remove', 'that', 'cornerstone', 'it', 'collapses', '.']",argument whether make breakthrough renewable energy moot regardless climate change debate current energy infrastructure entirely foundationed resource know deplete one day exhaust best way make fiscal thinking come line sustainable future incentivize fiscal thinker case point cbc program dragon den fiscal thinking dragon turn opportunity engineer want build tidal power generation station east coast obstacle cite dragon would never see return investment could find issue monetary issue end call engineer crazy tell would love get drunk would give plug nickel single one dragon able see clean plentiful sustainable low environmental impact energy something want part afraid loose paper number computer one want lose paper computer number understandable would seem subsidy order next big hurdle come joe work person want job employer want people best job main proponent old sad story mill shut revinew price tank people depend industry major concern economic event correction occur normal person compartmentalize specialized part work force seamstress likely know smelt metal refinery automated pant factory come town refinery staff likely know bake cake bakery market call skill set true energy sector insentivising company branch kind incentivize work force support company example jane doe oil company receive sort tax break levy laxxed funding invest clean renewable energy eventually jane oil become jane energy innovation conglomerative sudden share holder jane work toward efficient solar panel miniaturize wind mill prevent bird death msr nuclear power suddenly bob copper wire consortium share holder really interested microwave energy transmission name first orbital solar station turn company need staff work engineering towards prescribed goal incentivize create training program opportunity exist staff create business environment less wire build mean technician engineer need instead people destitute wire factory shut also need common sense get renewable future solar panel electric car work california mean work everywhere point something go work future reason stop use work stand oil keep soil mentality leave lot people cold hungry dark one away bow arrow first musket introduce expect energy sector energy corner stone foundation modern society take time put effort revolutionize energy society move remove cornerstone collapse
0,"['the', 'future', 'of', 'the', 'planet', 'and', 'its', 'living', 'beings', 'are', 'at', 'stake', '.', 'let', ""'s"", 'act', 'now', '!']",future planet living being stake let act
1,"['-', 'ted', 'sargent', 'at', 'u', 'of', 't', '-', 'bryan', 'koivisto', 'at', 'ryerson', '-', 'ultracapacitor', 'research', 'at', 'inrs-énergie', ',', 'matériaux', ',', 'télécommunications', ',', 'varennes', ',', 'qc', 'swanson', ""'s"", 'law', 'of', 'photovoltaics', 'suggests', 'that', 'the', 'more', 'gets', 'installed', ',', 'the', 'cheaper', 'it', 'gets', '.', 'https', ':', ""//en.wikipedia.org/wiki/swanson's_law"", 'ultracapacitors', 'and', 'solar', 'panels', 'power', 'the', 'streetlights', 'in', 'seoul', '.', 'why', 'not', 'here', '?', 'https', ':', '//www.youtube.com/watch', '?', 'v=dexk_qs-f4w']",ted sargent u bryan koivisto ryerson ultracapacitor research matériaux télécommunications varennes qc swanson law photovoltaics suggests get instal cheap get http ultracapacitors solar panel power streetlight seoul http
0,"['independent', 'research', '(', 'not', 'oil', 'and', 'gas', ')', 'should', 'be', 'subsidized', 'and', 'encouraged', '.', 'this', 'is', 'an', 'investment', '!']",independent research oil gas subsidize encourage investment
0,"['fundamental', 'research', 'is', 'critical', 'to', 'generating', 'knowledge', '-', 'the', 'longest', 'term', 'resource', 'in', 'any', 'innovation', 'based', 'economy', '.', 'in', 'the', 'transition', 'to', 'a', 'low', 'carbon', 'world', ',', 'countries', 'that', 'develop', '(', 'and', 'protect', 'and', 'use', ')', 'the', 'knowledge', ',', 'materials', ',', 'technologies', ',', 'and', 'turn-key', 'solutions', 'to', 'the', 'energy', 'system', 'of', 'tomorrow', 'will', 'enjoy', 'the', 'economic', 'benefits', 'that', 'steel', ',', 'oil', 'and', 'gas', ',', 'and', 'coal', 'giants', 'did', 'in', 'the', 'past', 'century', '.', 'time', 'to', 'make', 'this', 'happen', '!']",fundamental research critical generate knowledge long term resource innovation base economy transition low carbon world country develop protect use knowledge material technology solution energy system tomorrow enjoy economic benefit steel oil gas coal giant past century time make happen
0,"['i', 'have', 'tried', 'to', 'generate', 'interest', 'from', 'several', 'levels', 'of', 'our', 'government', 'with', 'respect', 'to', 'grass', 'roots', 'funding', 'for', 'an', 'energy', 'project', '.', 'it', 'seems', 'that', 'funding', 'is', 'available', ',', 'providing', 'that', 'you', 'will', 'commit', 'to', 'investing', '$', '750,000.00', 'yourself', 'in', 'the', 'project', '.', 'otherwise', ',', 'there', 'are', 'a', 'lot', 'of', 'deaf', 'ears', 'being', 'paid', 'as', '``', 'public', 'servants', ""''"", '.', 'this', 'is', 'extremely', 'frustrating', 'as', 'i', 'have', 'designed', 'a', 'wave', 'energy', 'system', 'that', 'makes', 'sense', '.', 'i', 'am', 'sure', 'that', 'there', 'are', 'many', 'shelved', 'ideas', 'that', 'should', 'be', 'given', 'a', 'chance', 'and', 'to', 'be', 'explored', '.']",try generate interest several level government respect grass root fund energy project seem funding available provide commit invest project otherwise lot deaf ear pay public servant extremely frustrating design wave energy system make sense sure many shelved idea give chance explore
1,"['encourage', 'hemp', 'production', 'for', 'seed', 'oil', '(', 'renewable', 'fuel', ',', 'biodegradable', 'plastics', ')', 'and', 'biomass', '(', 'carbon', 'sequestration', ')', '.', 'waste', 'products', 'include', 'food', ',', 'fibre', 'and', 'pulp', 'from', 'which', 'other', 'industries', 'can', 'be', 'developed', ',', 'contributing', 'to', 'economic', 'growth', '.']",encourage hemp production seed oil renewable fuel biodegradable plastic biomass carbon sequestration waste product include food fibre pulp industry develop contribute economic growth
0,"['hemp', 'and', 'biomass', 'production', 'should', 'be', 'part', 'of', 'the', 'renewable', 'energy', 'sources', '.']",hemp biomass production part renewable energy source
0,"['these', 'are', 'no', 'starters', '.', 'reduce', 'demand', 'an', 'move', 'to', 'wind', 'wave', 'solar', 'power', '.']",starter reduce demand move wind wave solar power
0,"['thanks', 'for', 'your', 'suggestion', '!', 'canada', 'has', 'a', 'program', 'for', 'renewable', 'fuels', 'called', 'the', 'ecoenergy', 'for', 'biofuels', 'program', '.', 'you', 'can', 'find', 'more', 'information', 'on', 'our', 'website', 'here', '.']",thanks suggestion canada program renewable fuel call ecoenergy biofuels program find information website
1,"['support', 'initiatives', 'that', 'help', 'canada', 'become', 'energy', 'independent', '.', 'it', 'is', 'damaging', 'to', 'our', 'economy', 'to', 'send', 'tens', 'of', 'billions', 'of', 'dollars', 'to', 'foreign', 'countries', 'each', 'year', '.', 'it', 'is', 'also', 'distressing', 'given', 'these', 'other', 'counties', 'have', 'very', 'poor', 'human', 'rights', 'standards', 'as', 'well', 'as', 'lower', 'environmental', 'innovation', 'and', 'regulations', '.']",support initiative help canada become energy independent damage economy send ten billion dollar foreign country year also distress give county poor human right standard well low environmental innovation regulation
